РЕЕСТР КОНТРОЛЬНЫХ ЗАДАНИЙ (правовая серия)
Фиксируется до начала прогона; эталоны после фиксации не изменяются.
Формат записи: КОД;ДОМЕН;ВОПРОС;ЭТАЛОН

ПРАВИЛО ПОДСЧЁТА ОТПЕЧАТКА (чтобы любой мог его повторить):
отпечаток считается по 150 строкам заданий между метками ниже, без самих меток,
кодировка UTF-8 без BOM, строки соединены символом \n, завершающего перевода строки нет.
Проверка одной командой:
  sed -n '/^=== НАЧАЛО ЗАДАНИЙ ===$/,/^=== КОНЕЦ ЗАДАНИЙ ===$/p' файл | sed '1d;$d' | head -c -1 | sha256sum

=== НАЧАЛО ЗАДАНИЙ ===
Т1;Д1;Какова максимальная продолжительность испытательного срока при приёме на работу по общему правилу (ст. 70 ТК РФ)?;3 месяца
Т2;Д1;Какова максимальная продолжительность испытательного срока для руководителя организации (ст. 70 ТК РФ)?;6 месяцев
Т3;Д1;Какова нормальная продолжительность рабочего времени в неделю (ст. 91 ТК РФ)?;40 часов
Т4;Д1;Какова минимальная продолжительность ежегодного основного оплачиваемого отпуска (ст. 115 ТК РФ)?;28 календарных дней
Т5;Д1;За сколько календарных дней работник обязан предупредить работодателя об увольнении по собственному желанию по общему правилу (ст. 80 ТК РФ)?;за 2 недели
Т6;Д1;За сколько календарных дней работодатель обязан известить работника о начале отпуска (ст. 123 ТК РФ)?;за 2 недели
Т7;Д1;В какой срок выплачивается заработная плата после окончания периода, за который она начислена (ст. 136 ТК РФ)?;не позднее 15 календарных дней
Т8;Д1;С какой периодичностью должна выплачиваться заработная плата (ст. 136 ТК РФ)?;не реже чем каждые полмесяца
Т9;Д1;За сколько месяцев работодатель обязан предупредить работника о сокращении численности или штата (ст. 180 ТК РФ)?;за 2 месяца
Т10;Д1;Каков срок обращения в суд по спорам об увольнении (ст. 392 ТК РФ)?;1 месяц
Т11;Д1;Каков общий срок обращения работника в суд за разрешением индивидуального трудового спора (ст. 392 ТК РФ)?;3 месяца
Т12;Д1;Каков срок обращения работника в суд по спорам о невыплате заработной платы (ст. 392 ТК РФ)?;1 год
Т13;Д1;В какой срок работодатель обязан выдать трудовую книжку при увольнении (ст. 84.1 ТК РФ)?;в день прекращения трудового договора
Т14;Д1;С какого возраста по общему правилу допускается заключение трудового договора (ст. 63 ТК РФ)?;с 16 лет
Т15;Д1;На какой максимальный срок может заключаться срочный трудовой договор (ст. 58 ТК РФ)?;5 лет
Т16;Д1;Какова продолжительность рабочей недели для работников в возрасте от 16 до 18 лет (ст. 92 ТК РФ)?;не более 35 часов
Т17;Д1;На сколько часов сокращается продолжительность рабочего дня накануне нерабочего праздничного дня (ст. 95 ТК РФ)?;на 1 час
Т18;Д1;Какова максимальная продолжительность сверхурочной работы в год для одного работника (ст. 99 ТК РФ)?;120 часов
Т19;Д1;Какова максимальная продолжительность сверхурочной работы в течение двух дней подряд (ст. 99 ТК РФ)?;4 часа
Т20;Д1;В каком размере оплачиваются первые два часа сверхурочной работы (ст. 152 ТК РФ)?;не менее чем в полуторном размере
Т21;Д1;Какова продолжительность отпуска работника в возрасте до 18 лет (ст. 267 ТК РФ)?;31 календарный день
Т22;Д1;Какова продолжительность дополнительного отпуска за ненормированный рабочий день минимально (ст. 119 ТК РФ)?;3 календарных дня
Т23;Д1;В течение какого срока после приёма на работу работодатель обязан оформить трудовой договор в письменной форме (ст. 67 ТК РФ)?;3 рабочих дня
Т24;Д1;Какова минимальная продолжительность перерыва для отдыха и питания (ст. 108 ТК РФ)?;30 минут
Т25;Д1;Какова максимальная продолжительность перерыва для отдыха и питания (ст. 108 ТК РФ)?;2 часа
Т26;Д1;Какова минимальная продолжительность еженедельного непрерывного отдыха (ст. 110 ТК РФ)?;42 часа
Т27;Д1;В какой срок работник должен быть ознакомлен с приказом о применении дисциплинарного взыскания (ст. 193 ТК РФ)?;3 рабочих дня
Т28;Д1;Каков срок применения дисциплинарного взыскания со дня обнаружения проступка (ст. 193 ТК РФ)?;1 месяц
Т29;Д1;Каков предельный срок применения дисциплинарного взыскания со дня совершения проступка (ст. 193 ТК РФ)?;6 месяцев
Т30;Д1;Через сколько месяцев непрерывной работы у работодателя возникает право на использование отпуска за первый год (ст. 122 ТК РФ)?;через 6 месяцев
Т31;Д1;Сколько дней отпуска можно заменить денежной компенсацией без увольнения (ст. 126 ТК РФ)?;только часть свыше 28 календарных дней
Т32;Д1;Какова продолжительность отпуска без сохранения заработной платы, которую работодатель обязан предоставить работающему пенсионеру по старости (ст. 128 ТК РФ)?;до 14 календарных дней в году
Т33;Д1;Каков размер выходного пособия при сокращении численности или штата (ст. 178 ТК РФ)?;средний месячный заработок
Т34;Д1;Какая доля заработной платы максимально может удерживаться по общему правилу (ст. 138 ТК РФ)?;20 процентов
Т35;Д1;Каков предельный размер удержаний из заработной платы при взыскании алиментов на несовершеннолетних детей (ст. 138 ТК РФ)?;70 процентов
Г1;Д2;Каков срок действия градостроительного плана земельного участка для целей выдачи разрешения на строительство (ст. 57.3 ГрК РФ)?;3 года
Г2;Д2;В какой срок выдаётся градостроительный план земельного участка со дня получения заявления (ст. 57.3 ГрК РФ)?;14 рабочих дней
Г3;Д2;Каков предельный срок проведения государственной экспертизы проектной документации (ст. 49 ГрК РФ)?;не более 42 рабочих дней
Г4;Д2;В какой срок выдаётся разрешение на строительство со дня получения заявления (ст. 51 ГрК РФ)?;5 рабочих дней
Г5;Д2;В какой срок выдаётся разрешение на ввод объекта в эксплуатацию со дня получения заявления (ст. 55 ГрК РФ)?;5 рабочих дней
Г6;Д5;Сколько глав в действующей Конституции РФ?;9
