"id";"категория";"ловушка";"вопрос";"эталон";"ответ_М1_первичный";"оценка_М1";"ответ_М2_первичный";"оценка_М2";"консенсус_1_раунда";"уточнение";"итоговый_ответ";"оценка_способа";"расхождений_в_протоколе";"статус_протокола";"арбитр";"длит_мс"
"П1";"Д1";"нет";"Вычислите: 317 × 246.";"77982";"317 × 246 = 77 982.";"верно";"Произведение чисел 317 и 246 равно 77 982.";"верно";"да";"нет";"317 × 246 = 77 982.";"верно";"0";"консенсус";"М1";"5779"
"П2";"Д1";"нет";"Вычислите: 428 × 513.";"219564";"428 × 513 = 219 564.";"верно";"Произведение чисел 428 и 513 равно 219 564.";"верно";"да";"нет";"219 564";"верно";"0";"консенсус";"М2";"7064"
"П3";"Д1";"нет";"Вычислите: 639 × 274.";"175086";"639 × 274 = 175 086.";"верно";"Произведение чисел 639 и 274 равно 175 086.";"верно";"да";"нет";"639 × 274 = 175 086.";"верно";"0";"консенсус";"М1";"6275"
"П4";"Д1";"нет";"Вычислите: 186 × 947.";"176142";"186 × 947 = 176 142.";"верно";"186 × 947 = 176 142.";"верно";"да";"нет";"176 142";"верно";"0";"консенсус";"М2";"5542"
"П5";"Д1";"нет";"Вычислите: 753 × 268.";"201804";"753 × 268 = 201 804.";"верно";"753 × 268 = 201 804.";"верно";"да";"нет";"753 × 268 = 201 804.";"верно";"0";"консенсус";"М1";"4747"
"П6";"Д1";"нет";"Вычислите: 394 × 617.";"243098";"394 × 617 = 243 098.";"верно";"394 × 617 = 243 098.";"верно";"да";"нет";"243 098";"верно";"0";"консенсус";"М2";"6517"
"П7";"Д1";"нет";"Вычислите: 562 × 839.";"471518";"562 × 839 = 471,518.";"верно";"562 × 839 = 471 518.";"верно";"да";"нет";"562 × 839 = 471 518";"верно";"0";"консенсус";"М1";"6853"
"П8";"Д1";"нет";"Вычислите: 271 × 468.";"126828";"271 × 468 = 126,828.";"верно";"Произведение чисел 271 и 468 равно 126 828.";"верно";"да";"нет";"126 828";"верно";"0";"консенсус";"М2";"10315"
"П9";"Д1";"нет";"Вычислите: 845 × 379.";"320255";"845 × 379 = 320 255.";"верно";"Произведение 845 и 379 равно 320 255.";"верно";"да";"нет";"845 × 379 = 320 255.";"верно";"0";"консенсус";"М1";"5124"
"П10";"Д1";"нет";"Вычислите: 417 × 296.";"123432";"417 × 296 = 123 432.";"верно";"Результат умножения 417 на 296 равен 123 432.";"верно";"да";"нет";"123 432";"верно";"0";"консенсус";"М2";"7213"
